No,Ax,Ay,Az,X,Y,Z,Gx,Gz,Gz,Kelas
1,0.0069,0.0034,1.0104,0.7829,4.7467,0.3177,0.3347,2.0427,0.1338,Baring
2,0.0042,0.0038,1.0002,1.796,1.7426,0.7437,0.0751,0.1038,0.7273,Baring
3,-0.0023,0.0141,1.0002,0.9191,0.7939,0.6321,-0.0316,-0.1862,-0.2936,Baring
4,0.00275,0.00267,0.9965,0.1814,0.2537,0.0912,-1.0851,0.1954,-0.2326,Baring
5,-0.0028,0.01,1.0002,0.5472,0.3746,-0.9087,-0.5965,0.4397,0.0422,Baring
6,-0.0006,0.0065,1.0036,0.5718,0.4106,-1.376,-1.0087,0.2717,-0.0646,Baring
7,-0.0077,0.0139,0.997,0.9525,0.4167,-1.376,-1.1309,-0.1862,0.0116,Baring
8,-0.00751,0.0134,0.9975,0.2577,0.1256,-1.8145,0.5637,0.0885,0.0269,Baring
9,-0.0021,0.0078,0.9877,0.2771,0.1193,-1.8305,0.1667,1.0809,-0.11047,Baring
10,-0.0036,0.0073,0.9914,0.2771,0.4212,-1.694,-1.2072,-0.2015,-0.0188,Baring
11,-0.2534,-0.1413,1.0625,-25.0278,17.7161,9.0809,-22.3573,14.3969,4.8826,Tanggung
12,-0.2534,-0.5793,0.8716,-32.3211,13.7087,8.13154,2.9403,9.0228,-3.77389,Tanggung
13,-0.2707,-0.6252,0.7771,-35.7319,14.7697,9.1185,-4.494,-5.2214,0.3177,Tanggung
14,-0.2839,-0.6496,0.7973,-36.8244,14.4737,8.3716,-0.5252,-2.9466,1.1726,Tanggung
15,-0.2971,-0.0616,0.8015,-35.2067,15.7006,7.5329,-0.5252,-2.3359,-0.2319,Tanggung
16,-0.27,-0.6166,0.7995,-37.395,16.6778,11.5747,5.2762,0.9312,-0.9036,Tanggung
17,-0.269,-0.6103,0.7958,-34.5657,15.4453,11.4054,-0.6168,1.4045,1.9207,Tanggung
18,-0.2641,-0.6286,0.8174,-36.6668,14.3287,12.6814,0.3296,-0.6107,0.9952,Tanggung
19,-0.2934,-0.6193,0.8049,-35.0944,16.7942,12.5633,-1.2275,0.3663,0.6077,Tanggung
20,-0.2812,-0.6269,0.8283,-36.1294,15.1304,11.5591,0.9861,1.8776,-0.8884,Tanggung
